time_idx,body_idx,t,x,y,vx,vy,m
0,0,0,0,0,0,0,333054
0,1,0,0,1.06953,0.011551,-0.011551,1.00033
0,2,0,-1.06953,0,0.011551,0.011551,1.00033
0,3,0,0,-1.06953,-0.011551,0.011551,1.00033
0,4,0,1.06953,0,-0.011551,-0.011551,1.00033
0,5,0,0.401075,0.401075,-0.00288774,0.0288774,1000.33
0,6,0,-0.401075,0.401075,-0.0288774,-0.00288774,1000.33
0,7,0,-0.401075,-0.401075,0.00288774,-0.0288774,1000.33
0,8,0,0.401075,-0.401075,0.0288774,0.00288774,1000.33
0,9,0,1.20323,1.20323,-0.00577548,5.77548e-05,0.107485
0,10,0,-1.20323,1.20323,5.77548e-05,-0.00577548,0.107485
0,11,0,-1.20323,-1.20323,0.00577548,5.77548e-05,0.107485
0,12,0,1.20323,-1.20323,-5.77548e-05,0.00577548,0.107485
0,13,0,0,1.53746,0.00577548,-0.00577548,0.100033
0,14,0,-1.53746,0,0.00577548,0.00577548,0.100033
0,15,0,0,-1.53746,-0.00577548,0.00577548,0.100033
0,16,0,1.53746,0,-0.00577548,-0.00577548,0.100033
1,0,5,-7.12884e-14,-2.46362e-14,-4.29633e-14,-1.50248e-14,333054
1,1,5,0.0576937,1.00837,0.0115134,-0.0129363,1.00033
1,2,5,-1.00837,0.0576937,0.0129363,0.0115134,1.00033
1,3,5,-0.0576937,-1.00837,-0.0115134,0.0129363,1.00033
1,4,5,1.00837,-0.0576937,-0.0129363,-0.0115134,1.00033
1,5,5,0.379697,0.537666,-0.00544534,0.0258428,1000.33
1,6,5,-0.537666,0.379697,-0.0258428,-0.00544534,1000.33
1,7,5,-0.379697,-0.537666,0.00544534,-0.0258428,1000.33
1,8,5,0.537666,-0.379697,0.0258428,0.00544534,1000.33
1,9,5,1.17343,1.20259,-0.00614422,-0.000315392,0.107485
1,10,5,-1.20201,1.17343,0.000430949,-0.00614436,0.107485
1,11,5,-1.17343,-1.20201,0.00614436,0.000430949,0.107485
1,12,5,1.20201,-1.17343,-0.000430949,0.00614436,0.107485
1,13,5,0.0288675,1.50697,0.00576949,-0.00642199,0.100033
1,14,5,-1.50697,0.0288675,0.00642199,0.00576949,0.100033
1,15,5,-0.0288675,-1.50697,-0.00576949,0.00642199,0.100033
1,16,5,1.50697,-0.0288675,-0.00642199,-0.00576949,0.100033
2,0,10,-5.81958e-13,-2.08569e-13,-1.7685e-13,-6.49034e-14,333054
2,1,10,0.114982,0.93986,0.0113848,-0.0145,1.00033
2,2,10,-0.93986,0.114982,0.0145,0.0113848,1.00033
2,3,10,-0.114982,-0.93986,-0.0113848,0.0145,1.00033
2,4,10,0.93986,-0.114982,-0.0145,-0.0113848,1.00033
2,5,10,0.348216,0.660255,-0.00702255,0.0232717,1000.33
